CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29560,4605,E,2.0,16:38.0,19/09/2019,19/09/2019 00:00,19/09/2019,,3112.99,0.0,0.0
F29561,6354,E,2.0,39:01.0,19/09/2019,19/09/2019 00:00,19/09/2019,,252.16,0.0,0.0
F29562,6800,E,2.0,48:36.0,19/09/2019,19/09/2019 00:00,19/09/2019,,252.16,0.0,0.0
F29563,87,E,2.0,02:52.0,19/09/2019,19/09/2019 00:00,04/10/2019,,249.05,0.0,0.0
F29565,5926,E,3.0,00:06.0,19/09/2019,19/09/2019 00:00,19/09/2019,,3365.9,0.0,0.0
F29566,6844,E,2.0,51:07.0,19/09/2019,19/09/2019 00:00,19/09/2019,,43103.4482,0.0,0.0
F29567,5739,E,1.0,01:25.0,19/09/2019,19/09/2019 00:00,18/11/2019,,19000.0,0.0,0.0
F29568,5926,E,2.0,55:53.0,20/09/2019,20/09/2019 00:00,20/09/2019,,1939.92,0.0,0.0
F29569,728,E,1.0,30:55.0,20/09/2019,20/09/2019 00:00,19/11/2019,,3112.0,0.0,0.0
F29570,6842,C,2.0,20:53.0,20/09/2019,20/09/2019 00:00,20/09/2019,20/09/2019,568.11,0.0,0.0
F29571,6845,E,2.0,29:56.0,20/09/2019,20/09/2019 00:00,20/09/2019,,568.11,0.0,0.0
F29572,6547,E,2.0,35:23.0,20/09/2019,25/09/2019 00:00,20/09/2019,,841.34,0.0,0.0
F29573,728,C,1.0,55:55.0,20/09/2019,20/09/2019 00:00,19/11/2019,20/09/2019,33499.2,5024.88,0.0
F29574,1158,E,2.0,06:14.0,20/09/2019,20/09/2019 00:00,20/09/2019,,420.0,0.0,0.0
F29575,728,E,1.0,10:57.0,20/09/2019,20/09/2019 00:00,19/11/2019,,33499.2,5024.88,0.0
F29576,5968,E,1.0,16:18.0,20/09/2019,20/09/2019 00:00,20/10/2019,,5400.0,810.0,0.0
F29577,3032,E,2.0,25:01.0,20/09/2019,20/09/2019 00:00,20/09/2019,,720.0,0.0,0.0
F29578,5926,C,3.0,42:25.0,20/09/2019,20/09/2019 00:00,20/09/2019,30/09/2019,777.1,0.0,0.0
F29579,6153,E,2.0,50:45.0,20/09/2019,20/09/2019 00:00,20/09/2019,,193.99,0.0,0.0
F29580,5728,E,1.0,13:27.0,20/09/2019,05/09/2019 00:00,20/09/2019,,1540.65,0.0,0.0
F29581,112,E,1.0,35:19.0,20/09/2019,20/09/2019 00:00,20/09/2019,,2034.0,0.0,0.0
F29582,1478,E,1.0,12:12.0,20/09/2019,10/09/2019 00:00,20/10/2019,,4679.0,0.0,0.0
F29583,5926,E,2.0,23:43.0,20/09/2019,19/09/2019 00:00,20/09/2019,,120.0,0.0,0.0
F29584,5926,E,2.0,26:26.0,20/09/2019,19/09/2019 00:00,20/09/2019,,2371.35,0.0,0.0
F29585,5926,E,2.0,28:50.0,20/09/2019,19/09/2019 00:00,20/09/2019,,252.16,0.0,0.0
F29587,5926,E,2.0,03:23.0,20/09/2019,17/09/2019 00:00,20/09/2019,,142.26,0.0,0.0
F29588,5926,E,2.0,04:50.0,20/09/2019,18/09/2019 00:00,20/09/2019,,1700.0,0.0,0.0
F29589,5926,E,2.0,08:02.0,20/09/2019,18/09/2019 00:00,20/09/2019,,708.02,0.0,0.0
F29590,5926,E,2.0,09:14.0,20/09/2019,18/09/2019 00:00,20/09/2019,,111.0,0.0,0.0
F29591,5926,E,2.0,10:23.0,20/09/2019,18/09/2019 00:00,20/09/2019,,918.34,0.0,0.0
F29592,5926,E,2.0,11:37.0,20/09/2019,18/09/2019 00:00,20/09/2019,,102.42,0.0,0.0
F29593,4676,E,3.0,40:49.0,20/09/2019,20/09/2019 00:00,20/09/2019,,695.69,0.0,0.0
F29594,49,E,3.0,09:16.0,20/09/2019,19/09/2019 00:00,05/10/2019,,2900.0,0.0,0.0
